"DateTime","realtime_lmp (avg) (ercot)"
"2020-01-01 20:00:23",16.56
"2020-01-01 20:05:18",16.43
"2020-01-01 20:10:17",16.27
"2020-01-01 20:15:19",16.19
"2020-01-01 20:20:18",16.42
"2020-01-01 20:25:18",16.42
"2020-01-01 20:30:20",16.09
"2020-01-01 20:35:18",16.01
"2020-01-01 20:40:18",16.09
"2020-01-01 20:45:20",15.97
"2020-01-01 20:50:19",15.75
"2020-01-01 20:55:20",15.15
"2020-01-01 21:00:23",15.58
"2020-01-01 21:05:19",15.9
"2020-01-01 21:10:20",15.77
"2020-01-01 21:15:21",15.71
"2020-01-01 21:20:18",15.77
"2020-01-01 21:25:18",15.64
"2020-01-01 21:30:22",15.91
"2020-01-01 21:35:20",16.01
"2020-01-01 21:40:18",16.22
"2020-01-01 21:45:19",16.22
"2020-01-01 21:50:18",15.95
"2020-01-01 21:55:19",15.87
"2020-01-01 22:00:21",15.88
"2020-01-01 22:05:20",15.95
"2020-01-01 22:10:18",16.15
"2020-01-01 22:15:18",16.41
"2020-01-01 22:20:17",16.42
"2020-01-01 22:25:18",16.43
"2020-01-01 22:30:21",16.42
"2020-01-01 22:35:17",16.42
"2020-01-01 22:40:18",16.42
"2020-01-01 22:45:21",16.43
"2020-01-01 22:50:18",16.61
"2020-01-01 22:55:20",16.72
"2020-01-01 23:00:24",16.73
"2020-01-01 23:05:20",16.65
"2020-01-01 23:10:20",16.54
"2020-01-01 23:15:18",16.75
"2020-01-01 23:20:18",16.72
"2020-01-01 23:25:18",16.75
"2020-01-01 23:30:21",16.85
"2020-01-01 23:35:19",17.88
"2020-01-01 23:40:22",19.02
"2020-01-01 23:45:22",18.81
"2020-01-01 23:50:17",17.96
"2020-01-01 23:55:21",17.52
"2020-01-02 00:00:25",17.29
"2020-01-02 00:05:20",16.99
"2020-01-02 00:10:18",16.97
"2020-01-02 00:15:19",16.55
"2020-01-02 00:20:19",16.71
"2020-01-02 00:25:21",16.71
"2020-01-02 00:30:21",16.66
"2020-01-02 00:35:18",16.69
"2020-01-02 00:40:21",16.51
"2020-01-02 00:45:21",16.41
"2020-01-02 00:50:18",16.49
"2020-01-02 00:55:21",16.34
"2020-01-02 01:00:23",15.96
"2020-01-02 01:05:20",15.9
"2020-01-02 01:10:19",16.14
"2020-01-02 01:15:19",15.79
"2020-01-02 01:20:23",15.43
"2020-01-02 01:25:19",15.28
"2020-01-02 01:30:19",15.33
"2020-01-02 01:35:20",15.57
"2020-01-02 01:40:18",15.31
"2020-01-02 01:45:20",15.16
"2020-01-02 01:50:20",15.41
"2020-01-02 01:55:20",15.81
"2020-01-02 02:00:22",15.06
"2020-01-02 02:05:18",14.78
"2020-01-02 02:10:18",14.91
"2020-01-02 02:15:21",14.93
"2020-01-02 02:20:18",15.04
"2020-01-02 02:25:19",15.02
"2020-01-02 02:30:18",15.38
"2020-01-02 02:35:18",15.91
"2020-01-02 02:40:19",16.19
"2020-01-02 02:45:21",16.08
"2020-01-02 02:50:18",16.1
"2020-01-02 02:55:20",16.42
"2020-01-02 03:00:25",15.95
"2020-01-02 03:05:21",15.74
"2020-01-02 03:10:18",15.53
"2020-01-02 03:15:18",15.16
"2020-01-02 03:20:20",15.4
"2020-01-02 03:25:19",15.5
"2020-01-02 03:30:18",15.34
"2020-01-02 03:35:17",15.09
"2020-01-02 03:40:17",14.78
"2020-01-02 03:45:19",14.61
"2020-01-02 03:50:20",14.48
"2020-01-02 03:55:22",14.51
"2020-01-02 04:00:22",15.04
"2020-01-02 04:05:22",15.29
"2020-01-02 04:10:18",16.76
"2020-01-02 04:15:19",16.76
"2020-01-02 04:20:18",16.75
"2020-01-02 04:25:20",16.74
"2020-01-02 04:30:20",16.45
"2020-01-02 04:35:18",16.44
"2020-01-02 04:40:18",16.39
"2020-01-02 04:45:19",16.36
"2020-01-02 04:50:18",15.98
"2020-01-02 04:55:19",15.12
"2020-01-02 05:00:25",14.7
"2020-01-02 05:05:19",14.98
"2020-01-02 05:10:19",14.93
"2020-01-02 05:15:18",14.86
"2020-01-02 05:20:20",14.72
"2020-01-02 05:25:13",14.75
"2020-01-02 05:30:14",14.74
"2020-01-02 05:35:13",14.63
"2020-01-02 05:40:13",14.5
"2020-01-02 05:45:13",14.61
"2020-01-02 05:50:13",15.44
"2020-01-02 05:55:15",15.58
"2020-01-02 06:00:24",15.9
"2020-01-02 06:05:14",15.08
"2020-01-02 06:10:13",15.06
"2020-01-02 06:15:14",15.17
"2020-01-02 06:20:15",15.43
"2020-01-02 06:25:13",14.81
"2020-01-02 06:30:13",14.71
"2020-01-02 06:35:14",14.28
"2020-01-02 06:40:15",13.71
"2020-01-02 06:45:14",14.08
"2020-01-02 06:50:13",14.18
"2020-01-02 06:55:14",13.7
"2020-01-02 07:00:27",13.74
"2020-01-02 07:05:15",13.76
"2020-01-02 07:10:13",13.88
"2020-01-02 07:15:16",14.28
"2020-01-02 07:20:13",14.57
"2020-01-02 07:25:13",14.88
"2020-01-02 07:30:13",14.62
"2020-01-02 07:35:14",14.46
"2020-01-02 07:40:13",14.4
"2020-01-02 07:45:15",14.21
"2020-01-02 07:50:14",14.23
"2020-01-02 07:55:14",14.61
"2020-01-02 08:00:18",14.98
"2020-01-02 08:05:17",15.12
"2020-01-02 08:10:13",14.56
"2020-01-02 08:15:15",14.32
"2020-01-02 08:20:14",14.15
"2020-01-02 08:25:14",14.07
"2020-01-02 08:30:14",13.93
"2020-01-02 08:35:15",14.12
"2020-01-02 08:40:14",14.48
"2020-01-02 08:45:13",14.32
"2020-01-02 08:50:15",13.73
"2020-01-02 08:55:14",12.96
"2020-01-02 09:00:19",12.78
"2020-01-02 09:05:14",13.18
"2020-01-02 09:10:14",14.02
"2020-01-02 09:15:13",13.65
"2020-01-02 09:20:15",13.71
"2020-01-02 09:25:14",13.72
"2020-01-02 09:30:12",13.3
"2020-01-02 09:35:13",14.14
"2020-01-02 09:40:14",13.87
"2020-01-02 09:45:15",13.96
"2020-01-02 09:50:20",13.97
"2020-01-02 09:55:16",13.88
"2020-01-02 10:00:29",14.52
"2020-01-02 10:05:13",14.72
"2020-01-02 10:10:16",15.13
"2020-01-02 10:15:14",14.99
"2020-01-02 10:20:14",14.69
"2020-01-02 10:25:14",14.67
"2020-01-02 10:30:18",14.61
"2020-01-02 10:35:14",14.73
"2020-01-02 10:40:13",14.64
"2020-01-02 10:45:14",14.54
"2020-01-02 10:50:16",14.71
"2020-01-02 10:55:14",14.62
"2020-01-02 11:00:21",14.52
"2020-01-02 11:05:16",14.71
"2020-01-02 11:10:13",14.56
"2020-01-02 11:15:13",14.12
"2020-01-02 11:20:13",14.36
"2020-01-02 11:25:15",14.46
"2020-01-02 11:30:15",14.61
"2020-01-02 11:35:14",14.91
"2020-01-02 11:40:13",14.79
"2020-01-02 11:45:14",14.52
"2020-01-02 11:50:15",13.52
"2020-01-02 11:55:13",11.91
"2020-01-02 12:00:18",12.14
"2020-01-02 12:05:13",13.04
"2020-01-02 12:10:13",13.46
"2020-01-02 12:15:13",13.23
"2020-01-02 12:20:13",13.31
"2020-01-02 12:25:13",13.57
"2020-01-02 12:30:13",13.8
"2020-01-02 12:35:14",14.41
"2020-01-02 12:40:13",14.98
"2020-01-02 12:45:12",15.36
"2020-01-02 12:50:14",15.45
"2020-01-02 12:55:13",14.99
"2020-01-02 13:00:21",15.03
"2020-01-02 13:05:13",15.47
"2020-01-02 13:10:14",15.41
"2020-01-02 13:15:13",15.47
"2020-01-02 13:20:13",15.58
"2020-01-02 13:25:14",15.62
"2020-01-02 13:30:17",15.85
"2020-01-02 13:35:15",16.06
"2020-01-02 13:40:13",16.05
"2020-01-02 13:45:12",16.11
"2020-01-02 13:50:13",16.1
"2020-01-02 13:55:20",15.77
"2020-01-02 14:00:24",15.64
"2020-01-02 14:05:19",15.74
"2020-01-02 14:10:17",16.07
"2020-01-02 14:15:20",16.37
"2020-01-02 14:20:17",16.22
"2020-01-02 14:25:16",16.08
"2020-01-02 14:30:20",16.05
"2020-01-02 14:35:17",15.85
"2020-01-02 14:40:17",16.33
"2020-01-02 14:45:18",16.45
"2020-01-02 14:50:20",16.41
"2020-01-02 14:55:19",16.1
"2020-01-02 15:00:25",16.09
"2020-01-02 15:05:22",16.38
"2020-01-02 15:10:19",16.5
"2020-01-02 15:15:22",16.55
"2020-01-02 15:20:21",16.82
"2020-01-02 15:25:21",16.86
"2020-01-02 15:30:22",16.74
"2020-01-02 15:35:18",16.7
"2020-01-02 15:40:18",16.91
"2020-01-02 15:45:16",16.88
"2020-01-02 15:50:15",16.97
"2020-01-02 15:55:16",16.84
"2020-01-02 16:00:20",16.78
"2020-01-02 16:05:14",16.64
"2020-01-02 16:10:13",16.6
"2020-01-02 16:15:16",16.75
"2020-01-02 16:20:21",16.76
"2020-01-02 16:25:13",16.77
"2020-01-02 16:30:18",16.67
"2020-01-02 16:35:17",16.49
"2020-01-02 16:40:19",16.59
"2020-01-02 16:45:18",16.58
"2020-01-02 16:50:18",16.57
"2020-01-02 16:55:19",16.65
"2020-01-02 17:00:29",16.62
"2020-01-02 17:05:19",16.87
"2020-01-02 17:08:59",17.41
"2020-01-02 17:10:24",17.46
"2020-01-02 17:15:16",17.15
"2020-01-02 17:20:16",17.21
"2020-01-02 17:25:17",16.89
"2020-01-02 17:30:19",17.06
"2020-01-02 17:35:17",17
"2020-01-02 17:40:18",16.94
"2020-01-02 17:45:19",17.07
"2020-01-02 17:50:18",17.24
"2020-01-02 17:55:17",17.78
"2020-01-02 18:00:24",17.51
