"DateTime","actual_load_miso (sum) (miso)"
"2020-01-01 00:00:00",70820.11
"2020-01-01 01:00:00",69032.88
"2020-01-01 02:00:00",67626.76
"2020-01-01 03:00:00",66709.19
"2020-01-01 04:00:00",65921.08
"2020-01-01 05:00:00",65674.71
"2020-01-01 06:00:00",66366.38
"2020-01-01 07:00:00",67657.95
"2020-01-01 08:00:00",69152.64
"2020-01-01 09:00:00",69919.41
"2020-01-01 10:00:00",70439.13
"2020-01-01 11:00:00",70496.91
"2020-01-01 12:00:00",70197.12
"2020-01-01 13:00:00",69617.44
"2020-01-01 14:00:00",68507.94
"2020-01-01 15:00:00",67303.33
"2020-01-01 16:00:00",66928.35
"2020-01-01 17:00:00",67733.78
"2020-01-01 18:00:00",70827.97
"2020-01-01 19:00:00",74564.09
"2020-01-01 20:00:00",74521.31
"2020-01-01 21:00:00",73491.34
"2020-01-01 22:00:00",72030.64
"2020-01-01 23:00:00",69509.16
"2020-01-02 00:00:00",66618.67
"2020-01-02 01:00:00",64057.99
"2020-01-02 02:00:00",62461.39
"2020-01-02 03:00:00",61347.22
"2020-01-02 04:00:00",61166.19
"2020-01-02 05:00:00",61578.73
"2020-01-02 06:00:00",63556.25
"2020-01-02 07:00:00",67252.98
"2020-01-02 08:00:00",71881.98
"2020-01-02 09:00:00",74508.72
"2020-01-02 10:00:00",75049.48
"2020-01-02 11:00:00",75252.73
"2020-01-02 12:00:00",75222.65
"2020-01-02 13:00:00",75106.5
"2020-01-02 14:00:00",74846.3
"2020-01-02 15:00:00",74613.33
"2020-01-02 16:00:00",74212.12
"2020-01-02 17:00:00",74247.49
"2020-01-02 18:00:00",76089.04
"2020-01-02 19:00:00",78158.51
"2020-01-02 20:00:00",77954.61
"2020-01-02 21:00:00",76577.69
"2020-01-02 22:00:00",74597.61
"2020-01-02 23:00:00",71606.11
"2020-01-03 00:00:00",68378.7
"2020-01-03 01:00:00",65459.43
"2020-01-03 02:00:00",63158.78
"2020-01-03 03:00:00",61910.87
"2020-01-03 04:00:00",61200.78
"2020-01-03 05:00:00",61274.27
"2020-01-03 06:00:00",63134.71
"2020-01-03 07:00:00",66810.99
"2020-01-03 08:00:00",71205.21
"2020-01-03 09:00:00",74111.91
"2020-01-03 10:00:00",74918.05
"2020-01-03 11:00:00",75652.35
"2020-01-03 12:00:00",75976.74
"2020-01-03 13:00:00",75871.59
"2020-01-03 14:00:00",75742.4
"2020-01-03 15:00:00",75584.4
"2020-01-03 16:00:00",75036.81
"2020-01-03 17:00:00",74909.54
"2020-01-03 18:00:00",76074.87
"2020-01-03 19:00:00",77736.27
"2020-01-03 20:00:00",77429.57
"2020-01-03 21:00:00",76274.26
"2020-01-03 22:00:00",74471.71
"2020-01-03 23:00:00",72381.92
"2020-01-04 00:00:00",69424.24
"2020-01-04 01:00:00",66625.04
"2020-01-04 02:00:00",64742.55
"2020-01-04 03:00:00",63371.27
"2020-01-04 04:00:00",62914.65
"2020-01-04 05:00:00",63011.93
"2020-01-04 06:00:00",63925.37
"2020-01-04 07:00:00",65782.05
"2020-01-04 08:00:00",68256.87
"2020-01-04 09:00:00",70717.58
"2020-01-04 10:00:00",72721.48
"2020-01-04 11:00:00",73957.43
"2020-01-04 12:00:00",73911.92
"2020-01-04 13:00:00",73432.5
"2020-01-04 14:00:00",72572.43
"2020-01-04 15:00:00",71722.18
"2020-01-04 16:00:00",71218.94
"2020-01-04 17:00:00",71795.7
"2020-01-04 18:00:00",73865.13
"2020-01-04 19:00:00",76787.73
"2020-01-04 20:00:00",77040.33
"2020-01-04 21:00:00",76627.67
"2020-01-04 22:00:00",75508.69
"2020-01-04 23:00:00",73723.36
"2020-01-05 00:00:00",71405.41
"2020-01-05 01:00:00",69193.32
"2020-01-05 02:00:00",67537.73
"2020-01-05 03:00:00",66494.87
"2020-01-05 04:00:00",66193.92
"2020-01-05 05:00:00",66354.93
"2020-01-05 06:00:00",67086.12
"2020-01-05 07:00:00",68552.24
"2020-01-05 08:00:00",70912.83
"2020-01-05 09:00:00",72785.11
"2020-01-05 10:00:00",73334.96
"2020-01-05 11:00:00",72497.45
"2020-01-05 12:00:00",71154.98
"2020-01-05 13:00:00",70144.26
"2020-01-05 14:00:00",69245.48
"2020-01-05 15:00:00",68144.82
"2020-01-05 16:00:00",67566.65
"2020-01-05 17:00:00",68191.99
"2020-01-05 18:00:00",71155.62
"2020-01-05 19:00:00",74679.78
"2020-01-05 20:00:00",75520.35
"2020-01-05 21:00:00",75027.8
"2020-01-05 22:00:00",73644.93
"2020-01-05 23:00:00",71257.24
"2020-01-06 00:00:00",68626.57
"2020-01-06 01:00:00",66474.17
"2020-01-06 02:00:00",65240.44
"2020-01-06 03:00:00",64891.8
"2020-01-06 04:00:00",65239.86
"2020-01-06 05:00:00",66265.25
"2020-01-06 06:00:00",69188.11
"2020-01-06 07:00:00",74672.45
"2020-01-06 08:00:00",80870.57
"2020-01-06 09:00:00",83007.74
"2020-01-06 10:00:00",81899.88
"2020-01-06 11:00:00",79919.41
"2020-01-06 12:00:00",78402.99
"2020-01-06 13:00:00",76860.89
"2020-01-06 14:00:00",75809.17
"2020-01-06 15:00:00",74948.04
"2020-01-06 16:00:00",74035.3
"2020-01-06 17:00:00",74300.61
"2020-01-06 18:00:00",76666.02
"2020-01-06 19:00:00",80024.95
"2020-01-06 20:00:00",80733.36
"2020-01-06 21:00:00",79764.46
"2020-01-06 22:00:00",77992.92
"2020-01-06 23:00:00",74853.3
"2020-01-07 00:00:00",71508.51
"2020-01-07 01:00:00",68802.02
"2020-01-07 02:00:00",67134.58
"2020-01-07 03:00:00",66223
"2020-01-07 04:00:00",66106.14
"2020-01-07 05:00:00",66759.14
"2020-01-07 06:00:00",69231.36
"2020-01-07 07:00:00",74407.96
"2020-01-07 08:00:00",80580.25
"2020-01-07 09:00:00",82610.5
"2020-01-07 10:00:00",81618.9
"2020-01-07 11:00:00",79926.11
"2020-01-07 12:00:00",78675.31
"2020-01-07 13:00:00",77325.56
"2020-01-07 14:00:00",76347.86
"2020-01-07 15:00:00",75587
"2020-01-07 16:00:00",74929.77
"2020-01-07 17:00:00",75248.34
"2020-01-07 18:00:00",77757.44
"2020-01-07 19:00:00",81477.43
"2020-01-07 20:00:00",82630.31
"2020-01-07 21:00:00",82318.38
"2020-01-07 22:00:00",81248.84
"2020-01-07 23:00:00",78638.67
"2020-01-08 00:00:00",75294.63
"2020-01-08 01:00:00",72774.55
"2020-01-08 02:00:00",71287.73
"2020-01-08 03:00:00",70875.24
"2020-01-08 04:00:00",70804.01
"2020-01-08 05:00:00",71914.48
"2020-01-08 06:00:00",74854.08
"2020-01-08 07:00:00",80369.16
"2020-01-08 08:00:00",86764.45
"2020-01-08 09:00:00",88675.2
"2020-01-08 10:00:00",87108.8
"2020-01-08 11:00:00",84835.78
"2020-01-08 12:00:00",83122.99
"2020-01-08 13:00:00",81286.09
"2020-01-08 14:00:00",80045.11
"2020-01-08 15:00:00",79121
"2020-01-08 16:00:00",78178.51
"2020-01-08 17:00:00",78341.16
"2020-01-08 18:00:00",80578.38
"2020-01-08 19:00:00",84402.93
"2020-01-08 20:00:00",85323.4
"2020-01-08 21:00:00",84644.05
"2020-01-08 22:00:00",83328.07
"2020-01-08 23:00:00",80081.79
"2020-01-09 00:00:00",76359.14
"2020-01-09 01:00:00",73272.68
"2020-01-09 02:00:00",71306.18
"2020-01-09 03:00:00",70264.56
"2020-01-09 04:00:00",69724.55
"2020-01-09 05:00:00",69842.61
"2020-01-09 06:00:00",71647.81
"2020-01-09 07:00:00",76326.21
"2020-01-09 08:00:00",81642.84
"2020-01-09 09:00:00",82872.6
"2020-01-09 10:00:00",81834.19
"2020-01-09 11:00:00",81095.99
"2020-01-09 12:00:00",80149.73
"2020-01-09 13:00:00",79070.4
"2020-01-09 14:00:00",77944.78
"2020-01-09 15:00:00",77284.95
"2020-01-09 16:00:00",76292.99
"2020-01-09 17:00:00",76048.23
"2020-01-09 18:00:00",77514.76
"2020-01-09 19:00:00",79558.75
"2020-01-09 20:00:00",79518.31
"2020-01-09 21:00:00",78207.68
"2020-01-09 22:00:00",76428.57
"2020-01-09 23:00:00",73058.11
"2020-01-10 00:00:00",69292.73
"2020-01-10 01:00:00",66399
"2020-01-10 02:00:00",64245.07
"2020-01-10 03:00:00",62906.04
"2020-01-10 04:00:00",62318.59
"2020-01-10 05:00:00",62462.24
"2020-01-10 06:00:00",64386.82
"2020-01-10 07:00:00",68468.61
"2020-01-10 08:00:00",73901.5
"2020-01-10 09:00:00",76340.71
"2020-01-10 10:00:00",76272.02
"2020-01-10 11:00:00",76333.6
"2020-01-10 12:00:00",76319.66
"2020-01-10 13:00:00",76231.97
"2020-01-10 14:00:00",75965.68
"2020-01-10 15:00:00",75730.32
"2020-01-10 16:00:00",75138.89
"2020-01-10 17:00:00",75305.65
"2020-01-10 18:00:00",76905.71
"2020-01-10 19:00:00",78429.2
"2020-01-10 20:00:00",77843.89
"2020-01-10 21:00:00",76415.53
"2020-01-10 22:00:00",74662.32
"2020-01-10 23:00:00",72223.49
"2020-01-11 00:00:00",69400.04
"2020-01-11 01:00:00",66761
"2020-01-11 02:00:00",64676.25
"2020-01-11 03:00:00",63217.67
"2020-01-11 04:00:00",62646.48
"2020-01-11 05:00:00",62290.16
"2020-01-11 06:00:00",63000
"2020-01-11 07:00:00",64311.16
"2020-01-11 08:00:00",66491.32
"2020-01-11 09:00:00",69165.55
"2020-01-11 10:00:00",71479.37
"2020-01-11 11:00:00",73128.64
"2020-01-11 12:00:00",73862.14
"2020-01-11 13:00:00",73745.31
"2020-01-11 14:00:00",73623.66
"2020-01-11 15:00:00",73252.47
"2020-01-11 16:00:00",73201.73
"2020-01-11 17:00:00",73626.9
"2020-01-11 18:00:00",75394.52
"2020-01-11 19:00:00",77990.95
"2020-01-11 20:00:00",78226.69
"2020-01-11 21:00:00",77246.17
"2020-01-11 22:00:00",76046.05
"2020-01-11 23:00:00",73957.01
"2020-01-12 00:00:00",71719.3
"2020-01-12 01:00:00",69404.72
"2020-01-12 02:00:00",67712.96
"2020-01-12 03:00:00",66732.38
"2020-01-12 04:00:00",66402.7
"2020-01-12 05:00:00",66342.99
"2020-01-12 06:00:00",66876.86
"2020-01-12 07:00:00",68402.17
"2020-01-12 08:00:00",70643.55
"2020-01-12 09:00:00",72810.81
