"DateTime","day_ahead_lbmp (avg) (nyiso)","day_ahead_lbmp (CENTRL) (nyiso)","day_ahead_lbmp (GENESE) (nyiso)","rtl (avg) (nyiso)"
"2020-03-01 00:00:00",17.438,15.92,15.37,1515.109
"2020-03-01 00:05:00",,,,1508.027
"2020-03-01 00:10:00",,,,1501.436
"2020-03-01 00:15:00",,,,1498.545
"2020-03-01 00:20:00",,,,1499.409
"2020-03-01 00:25:00",,,,1492.464
"2020-03-01 00:30:00",,,,1486.8
"2020-03-01 00:35:00",,,,1478.909
"2020-03-01 00:40:00",,,,1476.664
"2020-03-01 00:45:00",,,,1475.9
"2020-03-01 00:50:00",,,,1473.882
"2020-03-01 00:55:00",,,,1464.627
"2020-03-01 01:00:00",16.147,14.59,14.07,1461.373
"2020-03-01 01:05:00",,,,1458.2
"2020-03-01 01:10:00",,,,1449.473
"2020-03-01 01:15:00",,,,1456.745
"2020-03-01 01:20:00",,,,1450.164
"2020-03-01 01:25:00",,,,1445.209
"2020-03-01 01:30:00",,,,1439.982
"2020-03-01 01:35:00",,,,1439.591
"2020-03-01 01:40:00",,,,1434.227
"2020-03-01 01:45:00",,,,1436.727
"2020-03-01 01:50:00",,,,1432.355
"2020-03-01 01:55:00",,,,1422.4
"2020-03-01 02:00:00",15.541,14.29,13.82,1425.455
"2020-03-01 02:05:00",,,,1426.3
"2020-03-01 02:10:00",,,,1425.191
"2020-03-01 02:15:00",,,,1418.1
"2020-03-01 02:20:00",,,,1414.064
"2020-03-01 02:25:00",,,,1414.991
"2020-03-01 02:30:00",,,,1415.827
"2020-03-01 02:35:00",,,,1412.664
"2020-03-01 02:40:00",,,,1408.682
"2020-03-01 02:45:00",,,,1406.845
"2020-03-01 02:50:00",,,,1403.373
"2020-03-01 02:55:00",,,,1392.973
"2020-03-01 03:00:00",15.562,14.3,13.85,1396.355
"2020-03-01 03:05:00",,,,1402.418
"2020-03-01 03:10:00",,,,1405.1
"2020-03-01 03:15:00",,,,1405.082
"2020-03-01 03:20:00",,,,1396.136
"2020-03-01 03:25:00",,,,1396.782
"2020-03-01 03:30:00",,,,1395.336
"2020-03-01 03:35:00",,,,1397.845
"2020-03-01 03:40:00",,,,1396.709
"2020-03-01 03:45:00",,,,1390.391
"2020-03-01 03:50:00",,,,1392.891
"2020-03-01 03:55:00",,,,1393.145
"2020-03-01 04:00:00",15.659,14.27,13.81,1392.2
"2020-03-01 04:05:00",,,,1393.855
"2020-03-01 04:10:00",,,,1393.6
"2020-03-01 04:15:00",,,,1392.091
"2020-03-01 04:20:00",,,,1392.764
"2020-03-01 04:25:00",,,,1396.736
"2020-03-01 04:30:00",,,,1394.509
"2020-03-01 04:35:00",,,,1392.509
"2020-03-01 04:40:00",,,,1396.282
"2020-03-01 04:45:00",,,,1396.264
